"","Date","value.    Stage (mm) at Kumeti at Te Rehunga","value.    Stage (mm) at Makakahi at Hamua","value.    Stage (mm) at Makuri at Tuscan Hills","value.   Stage (mm) at Makuri at Tuscan Hills","value.    Stage (mm) at Manawatu at Hopelands","value.    Stage (mm) at Manawatu at Upper Gorge","value.    Stage (mm) at Manawatu at Weber Road","value.    Stage (mm) at Mangahao at Ballance","value.   Stage (mm) at Mangapapa at Troup Rd","value.    Stage (mm) at Mangapapa at Troup Rd","value.    Stage (mm) at Mangatainoka at Larsons Road","value.    Stage (mm) at Mangatainoka at Pahiatua Town Bridge","value.    Stage (mm) at Mangatoro at Mangahei Road","value. Stage (mm) at Mangatoro at Mangahei Road","value.  Stage (mm) at Mangatoro at Mangahei Road","value.  Stage (mm) at Raparapawai at Jackson Rd","value.    Stage (mm) at Raparapawai at Jackson Rd"
"    Stage (mm) at Kumeti at Te Rehunga.1995.8.January",1995-01-08,5583,6144,2,NA,2946,1239,891,3832,NA,2,6004,3796,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.9.January",1995-01-09,5826,189,2,NA,3195,1330,1027,4556,NA,2,2574,3724,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.10.January",1995-01-10,5782,1103,2,NA,5010,2612,2026,5522,NA,2,1106,5071,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.11.January",1995-01-11,5671,245,2,NA,4960,1991,2475,4165,NA,2,70,4281,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.12.January",1995-01-12,5510,6090,2,NA,4636,1600,2314,3633,NA,2,5863,3564,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.13.January",1995-01-13,5376,5776,2,NA,4261,1314,1780,3539,NA,2,5593,3033,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.14.January",1995-01-14,5327,5425,2,NA,3705,1009,1421,3069,NA,2,5297,2681,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.15.January",1995-01-15,5257,4995,2,NA,3327,771,1170,2737,NA,2,4938,2329,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.16.January",1995-01-16,5130,4482,2,NA,3037,596,995,2373,NA,2,4692,1979,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.17.January",1995-01-17,5130,4131,2,NA,2770,416,887,2121,NA,2,4469,2275,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.18.January",1995-01-18,5130,3847,2,NA,2753,337,825,1886,NA,2,4420,2276,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.19.January",1995-01-19,5799,3657,2,NA,3537,249,1944,1807,NA,2,5176,2098,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.20.January",1995-01-20,5638,3991,2,NA,823,1613,5780,1896,NA,2,5626,1930,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.21.January",1995-01-21,5211,4220,2,NA,5706,1363,3415,1587,NA,2,4634,2299,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.22.January",1995-01-22,4978,3677,2,NA,4432,654,2103,1329,NA,2,4315,2075,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.23.January",1995-01-23,4903,3105,2,NA,3803,366,1756,1140,NA,2,4170,1772,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.24.January",1995-01-24,4859,2935,2,NA,3525,237,1659,1258,NA,2,4105,1471,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.25.January",1995-01-25,4813,2915,2,NA,3422,209,1585,1252,NA,2,3937,1279,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.26.January",1995-01-26,4704,2689,2,NA,3221,125,1414,1059,NA,2,3873,1206,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.27.January",1995-01-27,4813,3781,2,NA,3121,196,1333,1297,NA,2,2916,1336,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.28.January",1995-01-28,5376,305,2,NA,5210,5648,2482,4115,NA,2,1224,2455,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.29.January",1995-01-29,4704,2583,2,NA,5703,4066,3546,5744,NA,2,1838,344,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.30.January",1995-01-30,4545,725,2,NA,4641,2430,2107,4428,NA,2,549,4796,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1995.31.January",1995-01-31,4446,6055,2,NA,4002,1528,1643,4147,NA,2,6063,3761,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.1.January",1996-01-01,6103,55,2,NA,4612,1800,2477,3902,NA,2,361,4287,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.2.January",1996-01-02,6103,5963,2,NA,4647,1606,2692,3484,NA,2,6087,3993,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.3.January",1996-01-03,5882,5446,2,NA,4390,1348,2416,3109,NA,2,5710,3604,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.4.January",1996-01-04,5704,4945,2,NA,4081,1163,2180,2846,NA,2,5405,3256,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.5.January",1996-01-05,5704,4591,2,NA,3872,1022,2029,2592,NA,2,5247,2977,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.6.January",1996-01-06,5583,4554,2,NA,3953,961,2078,2358,NA,2,5152,2819,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.7.January",1996-01-07,5546,4482,2,NA,3919,905,2059,2143,NA,2,5011,2714,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.8.January",1996-01-08,5418,4254,2,NA,3808,850,2035,2085,NA,2,4822,2619,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.9.January",1996-01-09,5418,3842,2,NA,3681,770,1905,1964,NA,2,4600,2432,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.10.January",1996-01-10,5418,3638,2,NA,3580,768,1884,1876,NA,2,4534,2345,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.11.January",1996-01-11,5418,3547,2,NA,5092,1052,3730,1727,NA,2,4496,2204,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.12.January",1996-01-12,5293,4005,2,NA,5047,1188,2972,1544,NA,2,4453,2057,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.13.January",1996-01-13,5293,4554,2,NA,4703,1029,2705,1569,NA,2,4795,2083,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.14.January",1996-01-14,5475,5045,2,NA,5076,1462,2847,2536,NA,2,5554,2653,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.15.January",1996-01-15,5908,285,2,NA,320,3122,4064,3923,NA,2,5939,3603,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.16.January",1996-01-16,5638,5593,2,NA,315,2735,4548,2568,NA,2,5241,3479,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.17.January",1996-01-17,5449,4699,2,NA,5822,1856,3691,1847,NA,2,4559,2813,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.18.January",1996-01-18,5475,3834,2,NA,5295,1317,2995,1503,NA,2,4294,2322,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.19.January",1996-01-19,5175,3448,2,NA,5781,1400,3396,1297,NA,2,4181,1948,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.20.January",1996-01-20,4859,3179,2,NA,5242,1081,3016,1021,NA,2,4029,1705,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.21.January",1996-01-21,5061,2601,2,NA,4711,830,2521,853,NA,2,3937,1509,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.22.January",1996-01-22,4704,2259,2,NA,4392,634,2213,738,NA,2,3847,1301,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.23.January",1996-01-23,4507,1806,2,NA,4102,518,2000,620,NA,2,3762,1114,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.24.January",1996-01-24,5098,4837,2,NA,4345,1092,1992,2669,NA,2,163,1795,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.25.January",1996-01-25,4978,5072,2,NA,5102,1590,2606,2513,NA,2,5011,2876,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.26.January",1996-01-26,5098,4420,2,NA,5065,1213,2914,1441,NA,2,4817,2460,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.27.January",1996-01-27,5061,3185,2,NA,1085,2393,5855,1907,NA,2,2619,3782,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.28.January",1996-01-28,5022,3390,2,NA,1873,3608,545,2407,NA,2,1930,5191,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.29.January",1996-01-29,5061,3395,2,NA,3855,4662,3073,2064,NA,2,1396,5171,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.30.January",1996-01-30,4941,1935,2,NA,3389,4783,1497,1810,NA,2,6073,4866,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1996.31.January",1996-01-31,4599,587,2,NA,1721,3419,6134,1365,NA,2,5110,3914,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.1.January",1997-01-01,1286,4396,2,NA,2479,5443,593,5390,NA,2,1535,717,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.2.January",1997-01-02,1306,3251,2,NA,1034,4098,5531,4511,NA,2,745,5911,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.3.January",1997-01-03,1275,2391,2,NA,731,3398,5070,4071,NA,2,259,5488,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.4.January",1997-01-04,1346,2005,2,NA,780,3134,5344,3876,NA,2,891,5125,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.5.January",1997-01-05,1711,4479,2,NA,1608,4124,6089,4690,NA,2,2588,5964,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.6.January",1997-01-06,1598,3852,2,NA,2012,4645,407,4178,NA,2,1195,6061,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.7.January",1997-01-07,1395,2523,2,NA,1172,4031,5673,3843,NA,2,367,5447,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.8.January",1997-01-08,1286,1817,2,NA,719,3238,5070,3451,NA,2,53,4969,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.9.January",1997-01-09,1306,1297,2,NA,358,2686,4642,3176,NA,2,5958,4619,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.10.January",1997-01-10,1321,996,2,NA,107,2346,4299,3050,NA,2,5818,4348,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.11.January",1997-01-11,1492,4953,2,NA,153,2306,4350,3441,NA,2,6111,4332,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.12.January",1997-01-12,1574,861,2,NA,558,5321,5148,899,NA,2,5951,3939,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.13.January",1997-01-13,1522,5391,2,NA,6146,4480,4200,5601,NA,2,3532,1389,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.14.January",1997-01-14,1701,5962,2,NA,354,3806,4553,368,NA,2,5557,1016,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.15.January",1997-01-15,1828,813,2,NA,3751,509,2221,1191,NA,2,4782,3911,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.16.January",1997-01-16,1929,5716,2,NA,1888,5541,219,5466,NA,2,2963,1740,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.17.January",1997-01-17,1982,4892,2,NA,1549,4631,186,4799,NA,2,1949,795,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.18.January",1997-01-18,1993,4396,2,NA,1098,4084,5661,4595,NA,2,4481,252,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.19.January",1997-01-19,2017,4970,2,NA,1202,4604,5389,5028,NA,2,3408,1023,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.20.January",1997-01-20,1916,3958,2,NA,1177,4445,5565,4653,NA,2,1908,284,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.21.January",1997-01-21,1828,3022,2,NA,639,3516,4917,4070,NA,2,1222,5687,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.22.January",1997-01-22,1762,2379,2,NA,203,2999,4415,3864,NA,2,977,5275,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.23.January",1997-01-23,1619,1825,2,NA,6125,2682,4056,3990,NA,2,656,5049,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.24.January",1997-01-24,1522,1563,2,NA,6008,2433,4004,3706,NA,2,214,5529,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.25.January",1997-01-25,1455,983,2,NA,5741,2152,3733,3344,NA,2,6033,6053,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.26.January",1997-01-26,1442,621,2,NA,5576,1814,3417,3127,NA,2,5867,5829,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.27.January",1997-01-27,1428,621,2,NA,5581,1716,3468,3018,NA,2,5796,5729,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.28.January",1997-01-28,1321,310,2,NA,5369,1546,3165,2854,NA,2,5588,5608,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.29.January",1997-01-29,1275,49,2,NA,5063,1318,2876,2708,NA,2,5405,5438,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.30.January",1997-01-30,1225,5960,2,NA,4871,1129,2703,2614,NA,2,5278,5295,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1997.31.January",1997-01-31,1181,5714,2,NA,4733,978,2550,2491,NA,2,5162,5172,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.1.January",1998-01-01,799,2189,2,NA,4930,3227,2117,6065,NA,2,1827,5755,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.2.January",1998-01-02,679,1717,2,NA,4551,2582,1819,5353,NA,2,1192,5320,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.3.January",1998-01-03,598,1218,2,NA,4186,1915,1567,4706,NA,2,688,4957,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.4.January",1998-01-04,486,881,2,NA,3857,1572,1349,4410,NA,2,328,4624,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.5.January",1998-01-05,504,690,2,NA,3757,1302,1190,4246,NA,2,485,4403,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.6.January",1998-01-06,371,847,2,NA,3587,1229,1145,4391,NA,2,449,4368,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.7.January",1998-01-07,331,1097,2,NA,3702,2144,1226,6125,NA,2,3618,5170,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.8.January",1998-01-08,266,814,2,NA,3635,2092,1152,5380,NA,2,569,4977,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.9.January",1998-01-09,280,569,2,NA,3515,1462,1076,4801,NA,2,1565,4342,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.10.January",1998-01-10,266,2277,2,NA,4068,1747,1611,4615,NA,2,1578,5041,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.11.January",1998-01-11,205,874,2,NA,4079,1674,1723,4303,NA,2,490,4696,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.12.January",1998-01-12,205,372,2,NA,3827,1289,1360,4033,NA,2,126,4260,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.13.January",1998-01-13,76,46,2,NA,3623,1157,1219,4047,NA,2,5968,3986,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.14.January",1998-01-14,182,5966,2,NA,3349,815,1064,3611,NA,2,5602,3663,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.15.January",1998-01-15,76,5770,2,NA,3094,638,976,3543,NA,2,572,3425,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.16.January",1998-01-16,6013,5858,2,NA,3081,1307,917,149,NA,2,4544,3797,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.17.January",1998-01-17,5933,1897,2,NA,3788,3213,1277,296,NA,2,1985,5896,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.18.January",1998-01-18,5933,255,2,NA,3680,1848,1327,5298,NA,2,456,4569,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.19.January",1998-01-19,6013,5807,2,NA,3337,1251,1041,4861,NA,2,534,3829,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.20.January",1998-01-20,5782,5745,2,NA,4027,1967,1423,107,NA,2,1184,3791,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.21.January",1998-01-21,5638,5666,2,NA,3933,1555,1380,5182,NA,2,106,3746,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.22.January",1998-01-22,5546,6043,2,NA,3851,1205,1449,4908,NA,2,957,3450,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.23.January",1998-01-23,5376,1464,2,NA,3809,1539,1354,5368,NA,2,1466,4321,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.24.January",1998-01-24,5293,359,2,NA,3577,1280,1221,4389,NA,2,376,4311,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.25.January",1998-01-25,5175,5800,2,NA,3354,787,1082,4081,NA,2,31,3605,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.26.January",1998-01-26,5022,5328,2,NA,3121,659,920,4136,NA,2,5664,3239,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.27.January",1998-01-27,4903,4949,2,NA,2756,413,824,3724,NA,2,5427,2898,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.28.January",1998-01-28,4760,4740,2,NA,2530,180,735,3347,NA,2,5181,2592,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.29.January",1998-01-29,4651,2241,2,NA,2556,1248,750,2249,NA,2,2229,5542,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.30.January",1998-01-30,4859,105,2,NA,3382,410,1095,4426,NA,2,6024,3895,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1998.31.January",1998-01-31,4289,2881,2,NA,3472,4713,980,2774,NA,2,5352,796,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.1.January",1999-01-01,1631,5660,2,NA,3385,776,1490,2047,NA,2,5626,3029,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.2.January",1999-01-02,1522,5496,2,NA,3268,692,1404,2105,NA,2,5322,2933,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.3.January",1999-01-03,1413,5289,2,NA,3154,574,1365,1903,NA,2,5050,2681,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.4.January",1999-01-04,1256,5087,2,NA,3036,437,1313,1605,NA,2,4883,2438,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.5.January",1999-01-05,1105,4900,2,NA,3027,334,1235,1450,NA,2,4634,2317,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.6.January",1999-01-06,998,4620,2,NA,2837,246,1169,1327,NA,2,4402,2108,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.7.January",1999-01-07,812,4394,2,NA,2662,115,1093,1193,NA,2,4206,1919,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.8.January",1999-01-08,764,4078,2,NA,2475,68,927,1155,NA,2,4643,1769,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.9.January",1999-01-09,733,4360,2,NA,2716,972,1135,5535,NA,2,1510,2064,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.10.January",1999-01-10,565,5167,2,NA,3065,1056,1380,3800,NA,2,5350,2959,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.11.January",1999-01-11,425,4771,2,NA,2839,592,1244,2442,NA,2,4512,2446,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.12.January",1999-01-12,266,4067,2,NA,2525,312,1013,1818,NA,2,4118,1978,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.13.January",1999-01-13,6126,3585,2,NA,2331,71,929,1342,NA,2,3842,1673,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.14.January",1999-01-14,5882,3383,2,NA,2296,6093,904,1113,NA,2,3982,1514,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.15.January",1999-01-15,5965,3781,2,NA,2558,45,1114,1195,NA,2,970,1456,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.16.January",1999-01-16,5826,4407,2,NA,3044,342,1309,2602,NA,2,5694,1821,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.17.January",1999-01-17,5476,4679,2,NA,933,1674,3372,1854,NA,2,4652,2303,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.18.January",1999-01-18,5511,4924,2,NA,4297,5084,2044,1748,NA,2,374,1945,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.19.January",1999-01-19,1762,459,2,NA,3401,4585,1107,1341,NA,2,5773,2256,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.20.January",1999-01-20,298,5408,2,NA,1538,3364,5797,1130,NA,2,4600,2629,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.21.January",1999-01-21,226,4453,2,NA,538,2246,4689,889,NA,2,3967,1860,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.22.January",1999-01-22,6041,3731,2,NA,1595,2194,4833,814,NA,2,3853,1563,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.23.January",1999-01-23,2388,608,2,NA,5906,6036,4257,1650,NA,2,957,1525,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.24.January",1999-01-24,1509,873,2,NA,5892,188,4314,2018,NA,2,21,3224,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.25.January",1999-01-25,723,87,2,NA,4956,5680,3128,1473,NA,2,5464,2928,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.26.January",1999-01-26,5748,5328,2,NA,3598,4567,1469,1038,NA,2,4462,2323,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.27.January",1999-01-27,4672,4512,2,NA,2311,3508,461,761,NA,2,3942,1579,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.28.January",1999-01-28,3815,3915,2,NA,1415,2664,5896,585,NA,2,3657,1203,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.29.January",1999-01-29,2967,3358,2,NA,865,2066,5341,460,NA,2,3533,935,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.30.January",1999-01-30,2211,2883,2,NA,428,1658,4826,386,NA,2,3410,727,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1999.31.January",1999-01-31,4305,3754,2,NA,827,1947,4598,869,NA,2,4972,907,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.2000.1.January",2000-01-01,1061,118,2085,NA,5229,1362,2742,2587,NA,2,401,3659,2,NA,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.2000.2.January",2000-01-02,998,390,3288,NA,57,2486,4700,4076,NA,2,3422,3941,2,NA,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.2000.3.January",2000-01-03,896,5283,4709,NA,629,832,5326,6135,NA,2,2015,2820,2,NA,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.2000.4.January",2000-01-04,812,4123,3319,NA,247,6079,4456,3067,NA,2,5331,1871,2,NA,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.2000.5.January",2000-01-05,696,2771,2562,NA,6052,4765,4185,1090,NA,2,3393,563,2,NA,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.2000.6.January",2000-01-06,584,1724,2262,NA,5848,3616,3750,5875,NA,2,2170,5810,2,NA,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.2000.7.January",2000-01-07,425,1114,2026,NA,5480,2886,3075,5273,NA,2,1514,5238,2,NA,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.2000.8.January",2000-01-08,298,757,1926,NA,6045,2611,5497,5236,NA,2,1111,4947,2,NA,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.2000.9.January",2000-01-09,205,453,2048,NA,92,3298,4886,5832,NA,2,874,4616,2,NA,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.2000.10.January",2000-01-10,102,187,1870,NA,5809,2463,4007,4564,NA,2,680,4153,2,NA,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.2000.11.January",2000-01-11,76,6129,1801,NA,5624,2058,3711,4037,NA,2,507,3817,2,NA,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.2000.12.January",2000-01-12,162,5955,1710,NA,5426,1729,3276,3643,NA,2,347,3599,2,NA,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.2000.13.January",2000-01-13,6103,5761,1657,NA,5361,1543,3092,3338,NA,2,210,3434,2,NA,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.2000.14.January",2000-01-14,6040,5458,1604,NA,5164,1334,2862,3003,NA,2,66,3228,2,NA,NA,NA,2
